Date,Fuji
27/12/2015,2972
20/12/2015,2546
13/12/2015,2986
6/12/2015,12527
29/11/2015,2790
22/11/2015,3256
15/11/2015,12086
8/11/2015,4652
1/11/2015,4360
25/10/2015,10090
18/10/2015,9069
11/10/2015,33416
4/10/2015,10822
27/9/2015,5754
20/9/2015,21592
13/9/2015,4394
6/9/2015,5402
30/8/2015,5810
23/8/2015,14861
16/8/2015,5258
9/8/2015,5034
2/8/2015,5141
26/7/2015,4856
19/7/2015,5300
12/7/2015,5803
5/7/2015,8022
28/6/2015,6573
21/6/2015,15445
14/6/2015,17880
7/6/2015,7238
31/5/2015,7421
24/5/2015,14839
17/5/2015,7394
10/5/2015,15897
3/5/2015,7942
26/4/2015,7985
19/4/2015,21631
12/4/2015,8506
5/4/2015,9060
29/3/2015,7120
22/3/2015,6590
15/3/2015,7018
8/3/2015,7206
1/3/2015,23739
22/2/2015,16375
15/2/2015,7840
8/2/2015,9647
1/2/2015,36532
25/1/2015,7556
18/1/2015,6342
11/1/2015,10998
4/1/2015,24964
25/12/2016,2893
18/12/2016,2337
11/12/2016,10383
4/12/2016,2996
27/11/2016,2187
20/11/2016,2463
13/11/2016,3042
6/11/2016,2894
30/10/2016,3018
23/10/2016, 
16/10/2016,2007
9/10/2016,2089
2/10/2016,8194
25/9/2016,2342
18/9/2016,2199
11/9/2016,1784
4/9/2016,2056
28/8/2016,1982
21/8/2016,2078
14/8/2016,1959
7/8/2016,2002
31/7/2016,1921
24/7/2016,1685
17/7/2016,1614
10/7/2016,4977
3/7/2016,6422
26/6/2016,5853
19/6/2016,6692
12/6/2016,2579
5/6/2016,5423
29/5/2016,4570
22/5/2016,3221
15/5/2016,6201
8/5/2016,5397
1/5/2016,3928
24/4/2016,2850
17/4/2016,9076
10/4/2016,3304
3/4/2016,5362
27/3/2016,6891
20/3/2016,2698
13/3/2016,4921
6/3/2016,5373
28/2/2016,5361
21/2/2016,9085
14/2/2016,5303
7/2/2016,14822
31/1/2016,4791
24/1/2016,4208
17/1/2016,7884
10/1/2016,8347
3/1/2016,10277
31/12/2017,1706
24/12/2017,2348
17/12/2017,1752
10/12/2017,1936
3/12/2017,1518
26/11/2017,1707
19/11/2017,2085
12/11/2017,2047
5/11/2017,1849
29/10/2017,2180
22/10/2017,2948
15/10/2017,2911
8/10/2017,2680
1/10/2017,2015
24/9/2017,1936
17/9/2017,2638
10/9/2017,2817
3/9/2017,3171
27/8/2017,2514
20/8/2017,2840
13/8/2017,3647
6/8/2017,3803
30/7/2017,3473
23/7/2017,3130
16/7/2017,3544
9/7/2017,3135
2/7/2017,3403
25/6/2017,3574
18/6/2017,3263
11/6/2017,2998
4/6/2017,3758
28/5/2017,3548
21/5/2017,3430
14/5/2017,2779
7/5/2017,3285
30/4/2017,2195
23/4/2017,2688
16/4/2017,3555
9/4/2017,4116
2/4/2017,3617
26/3/2017,4141
19/3/2017,3887
12/3/2017,9416
5/3/2017,5257
26/2/2017,5200
19/2/2017,7192
12/2/2017,4101
5/2/2017,11334
29/1/2017,6533
22/1/2017,5627
15/1/2017,4774
8/1/2017,7163
1/1/2017,9409
25/3/2018,2027
18/3/2018,6655
11/3/2018,2280
4/3/2018,1836
25/2/2018,7519
18/2/2018,2363
11/2/2018,2816
4/2/2018,8511
28/1/2018,1972
21/1/2018,2157
14/1/2018,7415
7/1/2018,2658
