Date,Fuji,y
04/01/2015,24964,10998
11/01/2015,10998,6342
18/01/2015,6342,7556
25/01/2015,7556,36532
01/02/2015,36532,9647
08/02/2015,9647,7840
15/02/2015,7840,16375
22/02/2015,16375,23739
01/03/2015,23739,7206
08/03/2015,7206,7018
15/03/2015,7018,6590
22/03/2015,6590,7120
29/03/2015,7120,9060
05/04/2015,9060,8506
12/04/2015,8506,21631
19/04/2015,21631,7985
26/04/2015,7985,7942
03/05/2015,7942,15897
10/05/2015,15897,7394
17/05/2015,7394,14839
24/05/2015,14839,7421
31/05/2015,7421,7238
07/06/2015,7238,17880
14/06/2015,17880,15445
21/06/2015,15445,6573
28/06/2015,6573,8022
05/07/2015,8022,5803
12/07/2015,5803,5300
19/07/2015,5300,4856
26/07/2015,4856,5141
02/08/2015,5141,5034
09/08/2015,5034,5258
16/08/2015,5258,14861
23/08/2015,14861,5810
30/08/2015,5810,5402
06/09/2015,5402,4394
13/09/2015,4394,21592
20/09/2015,21592,5754
27/09/2015,5754,10822
04/10/2015,10822,33416
11/10/2015,33416,9069
18/10/2015,9069,10090
25/10/2015,10090,4360
01/11/2015,4360,4652
08/11/2015,4652,12086
15/11/2015,12086,3256
22/11/2015,3256,2790
29/11/2015,2790,12527
06/12/2015,12527,2986
13/12/2015,2986,2546
20/12/2015,2546,2972
27/12/2015,2972,10277
03/01/2016,10277,8347
10/01/2016,8347,7884
17/01/2016,7884,4208
24/01/2016,4208,4791
31/01/2016,4791,14822
07/02/2016,14822,5303
14/02/2016,5303,9085
21/02/2016,9085,5361
28/02/2016,5361,5373
06/03/2016,5373,4921
13/03/2016,4921,2698
20/03/2016,2698,6891
27/03/2016,6891,5362
03/04/2016,5362,3304
10/04/2016,3304,9076
17/04/2016,9076,2850
24/04/2016,2850,3928
01/05/2016,3928,5397
08/05/2016,5397,6201
15/05/2016,6201,3221
22/05/2016,3221,4570
29/05/2016,4570,5423
05/06/2016,5423,2579
12/06/2016,2579,6692
19/06/2016,6692,5853
26/06/2016,5853,6422
03/07/2016,6422,4977
10/07/2016,4977,1614
17/07/2016,1614,1685
24/07/2016,1685,1921
31/07/2016,1921,2002
07/08/2016,2002,1959
14/08/2016,1959,2078
21/08/2016,2078,1982
28/08/2016,1982,2056
04/09/2016,2056,1784
11/09/2016,1784,2199
18/09/2016,2199,2342
25/09/2016,2342,8194
02/10/2016,8194,2089
09/10/2016,2089,2007
16/10/2016,2007,2512
23/10/2016,2512,3018
30/10/2016,3018,2894
06/11/2016,2894,3042
13/11/2016,3042,2463
20/11/2016,2463,2187
27/11/2016,2187,2996
04/12/2016,2996,10383
11/12/2016,10383,2337
18/12/2016,2337,2893
25/12/2016,2893,9409
01/01/2017,9409,7163
08/01/2017,7163,4774
15/01/2017,4774,5627
22/01/2017,5627,6533
29/01/2017,6533,11334
05/02/2017,11334,4101
12/02/2017,4101,7192
19/02/2017,7192,5200
26/02/2017,5200,5257
05/03/2017,5257,9416
12/03/2017,9416,3887
19/03/2017,3887,4141
26/03/2017,4141,3617
02/04/2017,3617,4116
09/04/2017,4116,3555
16/04/2017,3555,2688
23/04/2017,2688,2195
30/04/2017,2195,3285
07/05/2017,3285,2779
14/05/2017,2779,3430
21/05/2017,3430,3548
28/05/2017,3548,3758
04/06/2017,3758,2998
11/06/2017,2998,3263
18/06/2017,3263,3574
25/06/2017,3574,3403
02/07/2017,3403,3135
09/07/2017,3135,3544
16/07/2017,3544,3130
23/07/2017,3130,3473
30/07/2017,3473,3803
06/08/2017,3803,3647
13/08/2017,3647,2840
20/08/2017,2840,2514
27/08/2017,2514,3171
03/09/2017,3171,2817
10/09/2017,2817,2638
17/09/2017,2638,1936
24/09/2017,1936,2015
01/10/2017,2015,2680
08/10/2017,2680,2911
15/10/2017,2911,2948
22/10/2017,2948,2180
29/10/2017,2180,1849
05/11/2017,1849,2047
12/11/2017,2047,2085
19/11/2017,2085,1707
26/11/2017,1707,1518
03/12/2017,1518,1936
10/12/2017,1936,1752
17/12/2017,1752,2348
24/12/2017,2348,1706
31/12/2017,1706,2658
07/01/2018,2658,7415
14/01/2018,7415,2157
21/01/2018,2157,1972
28/01/2018,1972,8511
04/02/2018,8511,2816
11/02/2018,2816,2363
18/02/2018,2363,7519
25/02/2018,7519,1836
04/03/2018,1836,2280
11/03/2018,2280,6655
18/03/2018,6655,2027
