Date,Gala,y
04/01/2015,2752,3322
11/01/2015,3322,2257
18/01/2015,2257,2061
25/01/2015,2061,2905
01/02/2015,2905,4699
08/02/2015,4699,6493
15/02/2015,6493,2122
22/02/2015,2122,3492
01/03/2015,3492,7404
08/03/2015,7404,2982
15/03/2015,2982,7290
22/03/2015,7290,3102
29/03/2015,3102,3790
05/04/2015,3790,7523
12/04/2015,7523,3260
19/04/2015,3260,3402
26/04/2015,3402,4290
03/05/2015,4290,7891
10/05/2015,7891,2920
17/05/2015,2920,3474
24/05/2015,3474,4028
31/05/2015,4028,6656
07/06/2015,6656,3136
14/06/2015,3136,5876
21/06/2015,5876,3975
28/06/2015,3975,8435
05/07/2015,8435,7474
12/07/2015,7474,5565
19/07/2015,5565,5480
26/07/2015,5480,5435
02/08/2015,5435,3931
09/08/2015,3931,6457
16/08/2015,6457,4433
23/08/2015,4433,7923
30/08/2015,7923,7992
06/09/2015,7992,6593
13/09/2015,6593,6640
20/09/2015,6640,3663
27/09/2015,3663,7552
04/10/2015,7552,7604
11/10/2015,7604,6586
18/10/2015,6586,6552
25/10/2015,6552,6428
01/11/2015,6428,6286
08/11/2015,6286,6502
15/11/2015,6502,6663
22/11/2015,6663,6031
29/11/2015,6031,4086
06/12/2015,4086,6458
13/12/2015,6458,7394
20/12/2015,7394,5894
27/12/2015,5894,5432
03/01/2016,5432,9065
10/01/2016,9065,8901
17/01/2016,8901,4714
24/01/2016,4714,8441
31/01/2016,8441,17989
07/02/2016,17989,6617
14/02/2016,6617,4891
21/02/2016,4891,8767
28/02/2016,8767,7307
06/03/2016,7307,6448
13/03/2016,6448,9201
20/03/2016,9201,9114
27/03/2016,9114,6316
03/04/2016,6316,5341
10/04/2016,5341,4730
17/04/2016,4730,591
24/04/2016,591,0
01/05/2016,0,7
08/05/2016,7,16
15/05/2016,16,3
22/05/2016,3,7
29/05/2016,7,12
05/06/2016,12,3
12/06/2016,3,2
19/06/2016,2,9
26/06/2016,9,12
03/07/2016,12,3
10/07/2016,3,6
17/07/2016,6,3
24/07/2016,3,3
31/07/2016,3,3
07/08/2016,3,6569
14/08/2016,6569,4695
21/08/2016,4695,5919
28/08/2016,5919,7067
04/09/2016,7067,6412
11/09/2016,6412,6951
18/09/2016,6951,5737
25/09/2016,5737,7083
02/10/2016,7083,6562
09/10/2016,6562,6689
16/10/2016,6689,6919
23/10/2016,6919,7312
30/10/2016,7312,7688
06/11/2016,7688,6079
13/11/2016,6079,7123
20/11/2016,7123,5526
27/11/2016,5526,3772
04/12/2016,3772,4088
11/12/2016,4088,5563
18/12/2016,5563,6681
25/12/2016,6681,11342
01/01/2017,11342,12144
08/01/2017,12144,10057
15/01/2017,10057,8314
22/01/2017,8314,9559
29/01/2017,9559,23346
05/02/2017,23346,9261
12/02/2017,9261,9936
19/02/2017,9936,11563
26/02/2017,11563,12115
05/03/2017,12115,9975
12/03/2017,9975,9034
19/03/2017,9034,8899
26/03/2017,8899,9920
02/04/2017,9920,10281
09/04/2017,10281,9549
16/04/2017,9549,9754
23/04/2017,9754,9317
30/04/2017,9317,9702
07/05/2017,9702,9358
14/05/2017,9358,10331
21/05/2017,10331,10210
28/05/2017,10210,7950
04/06/2017,7950,8103
11/06/2017,8103,8415
18/06/2017,8415,7668
25/06/2017,7668,8607
02/07/2017,8607,7817
09/07/2017,7817,8951
16/07/2017,8951,7062
23/07/2017,7062,7264
30/07/2017,7264,7645
06/08/2017,7645,5544
13/08/2017,5544,7323
20/08/2017,7323,6034
27/08/2017,6034,6523
03/09/2017,6523,6160
10/09/2017,6160,5499
17/09/2017,5499,5659
24/09/2017,5659,5128
01/10/2017,5128,6108
08/10/2017,6108,5020
15/10/2017,5020,4056
22/10/2017,4056,4757
29/10/2017,4757,4629
05/11/2017,4629,4630
12/11/2017,4630,5660
19/11/2017,5660,5116
26/11/2017,5116,7094
03/12/2017,7094,4746
10/12/2017,4746,6656
17/12/2017,6656,4751
24/12/2017,4751,6263
31/12/2017,6263,7511
07/01/2018,7511,8299
14/01/2018,8299,6343
21/01/2018,6343,6962
28/01/2018,6962,22490
04/02/2018,22490,10559
11/02/2018,10559,8576
18/02/2018,8576,11798
25/02/2018,11798,10102
04/03/2018,10102,12281
11/03/2018,12281,7738
18/03/2018,7738,9200
